hardware_id,oid,shid,start_tm,end_tm,span_raw,type,parameter,span_seconds,mid,machine_name,machine_type,is_gmaw,is_clad,source
EC6260723F44,7284324,2,2024-08-10 17:46:41+05:30,2024-08-10 17:46:49+05:30,9,low,voltage,9,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-10 17:47:48+05:30,2024-08-10 17:47:55+05:30,8,low,voltage,8,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-10 17:48:27+05:30,2024-08-10 17:48:36+05:30,10,low,voltage,10,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-10 17:49:08+05:30,2024-08-10 17:49:17+05:30,10,low,voltage,10,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-10 17:49:49+05:30,2024-08-10 17:49:57+05:30,9,low,voltage,9,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-10 19:00:02+05:30,2024-08-10 19:00:10+05:30,9,low,voltage,9,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-10 19:00:25+05:30,2024-08-10 19:00:31+05:30,7,low,voltage,7,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-10 19:00:35+05:30,2024-08-10 19:00:40+05:30,6,low,voltage,6,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-10 19:01:22+05:30,2024-08-10 19:01:36+05:30,15,low,voltage,15,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-10 19:02:03+05:30,2024-08-10 19:02:11+05:30,9,low,voltage,9,,,,,,unregistered_device
